time,FID,etof,acres
2016-01-01,077_000017,0.0,35.512
2016-01-01,077_000018,0.0,7.79
2016-01-01,077_000019,0.0,26.043
2016-01-01,077_000020,0.0,18.267
2016-01-01,077_000063,0.0,85.433
2016-01-01,077_000038,0.0,82.327
2016-01-01,077_000039,0.0,63.029
2016-01-01,077_000040,0.0,66.515
2016-01-01,077_000062,0.0,63.009
2016-01-01,077_000066,0.0,111.285
2016-01-01,077_000049,0.0,19.941
2016-01-01,077_000050,0.002,28.331
2016-02-01,077_000017,0.059,35.512
2016-02-01,077_000018,0.068,7.79
2016-02-01,077_000019,0.094,26.043
2016-02-01,077_000020,0.099,18.267
2016-02-01,077_000063,0.078,85.433
2016-02-01,077_000038,0.082,82.327
2016-02-01,077_000039,0.056,63.029
2016-02-01,077_000040,0.095,66.515
2016-02-01,077_000062,0.091,63.009
2016-02-01,077_000066,0.092,111.285
2016-02-01,077_000049,0.098,19.941
2016-02-01,077_000050,0.109,28.331
2016-03-01,077_000017,0.332,35.512
2016-03-01,077_000018,0.31,7.79
2016-03-01,077_000019,0.35,26.043
2016-03-01,077_000020,0.333,18.267
2016-03-01,077_000063,0.338,85.433
2016-03-01,077_000038,0.312,82.327
2016-03-01,077_000039,0.306,63.029
2016-03-01,077_000040,0.407,66.515
2016-03-01,077_000062,0.349,63.009
2016-03-01,077_000066,0.408,111.285
2016-03-01,077_000049,0.339,19.941
2016-03-01,077_000050,0.311,28.331
2016-04-01,077_000017,0.752,35.512
2016-04-01,077_000018,0.702,7.79
2016-04-01,077_000019,0.631,26.043
2016-04-01,077_000020,0.71,18.267
2016-04-01,077_000063,0.727,85.433
2016-04-01,077_000038,0.627,82.327
2016-04-01,077_000039,0.664,63.029
2016-04-01,077_000040,0.655,66.515
2016-04-01,077_000062,0.741,63.009
2016-04-01,077_000066,0.738,111.285
2016-04-01,077_000049,0.732,19.941
2016-04-01,077_000050,0.643,28.331
2016-05-01,077_000017,0.835,35.512
2016-05-01,077_000018,0.8,7.79
2016-05-01,077_000019,0.819,26.043
2016-05-01,077_000020,0.822,18.267
2016-05-01,077_000063,0.82,85.433
2016-05-01,077_000038,0.834,82.327
2016-05-01,077_000039,0.741,63.029
2016-05-01,077_000040,0.831,66.515
2016-05-01,077_000062,0.881,63.009
2016-05-01,077_000066,0.863,111.285
2016-05-01,077_000049,0.819,19.941
2016-05-01,077_000050,0.837,28.331
2016-06-01,077_000017,0.984,35.512
2016-06-01,077_000018,0.842,7.79
2016-06-01,077_000019,0.857,26.043
2016-06-01,077_000020,0.944,18.267
2016-06-01,077_000063,0.883,85.433
2016-06-01,077_000038,0.92,82.327
2016-06-01,077_000039,0.631,63.029
2016-06-01,077_000040,0.896,66.515
